country,points,price,variety,type,title,description
France,93,49,Sauvignon Blanc,white,Joseph Mellot 2012 La Grande Cuvée des Edvins  (Pouilly-Fumé),"The top Pouilly Fumé from Joseph Mellot is a complex wine with rich, rounded fruits touched by wood aging. Yellow fruits dominate, given a further lift by apple acidity and a smoky flavor. Delicious now, it's a powerful wine that could age further, so keep until 2015."
France,88,14,Bordeaux-style Red Blend,red,Château de Fontenille 2015  Bordeaux,Stéphane Defraine's wine is rich with dark black fruits. The tannins with spice and a firm core give this wine density. It is already powerful and concentrated. It will be ready from 2018.
France,90,38,Sauvignon Blanc,white,Château de Tracy 2010  Pouilly-Fumé,"An intensely herbal and ageworthy wine, this has tight acidity and a very fresh gooseberry character. With its intensity of flavor, it has something in common with New World Sauvignon Blanc—except this has terroir-driven minerality on the finish."
US,83,20,Pinot Noir,red,Robert Goyette 2012 Pinot Noir (Sonoma Coast),"Funky earth and a diluted body make for a generic experience with this wine, which simultaneously offers a large tannin profile plus a weedy, dried herb component."
US,94,58,Pinot Noir,red,Dutton-Goldfield 2009 McDougall Vineyard Pinot Noir (Sonoma Coast),"Somewhere between the acidity and dryness, this Pinot has a terrifically interesting core. It's a subtle wine, now suggesting cherry fruit, now retreating in favor of earthier mushrooms, minerals and pine needles, framed in firm tannins. Strikes out new territory for cool-climate Pinot Noir, less ripe, lower in alcohol and more exciting."
US,91,54,Cabernet Sauvignon,red,Greyscale 2010 Cabernet Sauvignon (Napa Valley),"Kian Tavakoli is the winemaker for this small-production Cabernet Sauvignon with some Merlot, Petit Verdot and Cabernet Franc. A brambly, full-bodied wine, it's concentrated in black fruit with a spicy streak of clove."
France,86,12,Rhône-style Red Blend,red,André Brunel 2009 Red (Côtes du Rhône),"A slightly chunky and inelegant Côtes du Rhône, this wine nevertheless delivers satisfying and assertive notes of black olive, espresso and dark chocolate. Drink it over the next few years."
France,83,12,Bordeaux-style White Blend,white,Château d'Haurets 2009  Bordeaux Blanc,"Light and dilute, this is a pleasant wine, soft with hints of pineapple and a fresh aftertaste. Screw cap."
US,86,35,Pinot Noir,red,Raptor Ridge 2000 Shea Vineyard Pinot Noir (Willamette Valley),"A deep sniff delivers leather, ripe black cherry, marzipan and some smokiness, but the palate isn't congruent. It's candied, a bit burnt, and it tastes just a tad too much like cherry cough syrup. The texture is fine and the flavors solid, but it falls short in the areas of layering and elegance. It's too one-dimensional and not multifaceted. –M.S."
France,95,116,Chardonnay,white,Joseph Drouhin 2013 Clos de la Garenne Premier Cru  (Puligny-Montrachet),"This offers toast and spice aromas, with opulent apricots and white peaches along with intense freshness from the acidity and linear structure. The wood aging just shows through in the roundness of the wine, while leaving room for a fresh, crisp, mineral aftertaste. Drink from 2018."
