Field,Type,Calculated,Description
id,integer,,Airbnb's unique identifier for the listing
host_id,integer,,Airbnb's unique identifier for the host/user
host_since,date,,The date the host/user was created. For hosts that are Airbnb guests this could be the date they registered as a guest.
host_response_time,,,
host_response_rate,,,
host_acceptance_rate,,,That rate at which a host accepts booking requests.
host_is_superhost,boolean [t=true; f=false],,
host_total_listings_count,text,,The number of listings the host has (per Airbnb calculations)
host_verifications,json,,
host_has_profile_pic,boolean [t=true; f=false],,
host_identity_verified,boolean [t=true; f=false],,
neighbourhood_cleansed,text,y,The neighbourhood as geocoded using the latitude and longitude against neighborhoods as defined by open or public digital shapefiles.
latitude,numeric,,Uses the World Geodetic System (WGS84) projection for latitude and longitude.
longitude,numeric,,Uses the World Geodetic System (WGS84) projection for latitude and longitude.
room_type,text,,"[Entire home/apt|Private room|Shared room|Hotel]

All homes are grouped into the following three room types:

Entire place
Private room
Shared room
Entire place
Entire places are best if you're seeking a home away from home. With an entire place, you'll have the whole space to yourself. This usually includes a bedroom, a bathroom, a kitchen, and a separate, dedicated entrance. Hosts should note in the description if they'll be on the property or not (ex: ""Host occupies first floor of the home""), and provide further details on the listing.

Private rooms
Private rooms are great for when you prefer a little privacy, and still value a local connection. When you book a private room, you'll have your own private room for sleeping and may share some spaces with others. You might need to walk through indoor spaces that another host or guest may occupy to get to your room.

Shared rooms
Shared rooms are for when you don't mind sharing a space with others. When you book a shared room, you'll be sleeping in a space that is shared with others and share the entire space with other people. Shared rooms are popular among flexible travelers looking for new friends and budget-friendly stays."
accommodates,integer,,The maximum capacity of the listing
bathrooms_text,string,,"The number of bathrooms in the listing.
On the Airbnb web-site, the bathrooms field has evolved from a number to a textual description. For older scrapes, bathrooms is used."
bedrooms,integer,,The number of bedrooms
beds,integer,,The number of bed(s)
amenities,json,,
price,currency,,daily price in local currency
minimum_nights_avg_ntm,numeric,y,the average minimum_night value from the calender (looking 365 nights in the future)
maximum_nights_avg_ntm,numeric,y,the average maximum_night value from the calender (looking 365 nights in the future)
number_of_reviews,integer,,The number of reviews the listing has
number_of_reviews_ltm,integer,y,The number of reviews the listing has (in the last 12 months)
number_of_reviews_l30d,integer,y,The number of reviews the listing has (in the last 30 days)
first_review,date,y,The date of the first/oldest review
last_review,date,y,The date of the last/newest review
review_scores_rating,,,
review_scores_accuracy,,,
review_scores_cleanliness,,,
review_scores_checkin,,,
review_scores_communication,,,
review_scores_location,,,
review_scores_value,,,
instant_bookable,boolean,,[t=true; f=false]. Whether the guest can automatically book the listing without the host requiring to accept their booking request. An indicator of a commercial listing.
calculated_host_listings_count,integer,y,"The number of listings the host has in the current scrape, in the city/region geography."
calculated_host_listings_count_entire_homes,integer,y,"The number of Entire home/apt listings the host has in the current scrape, in the city/region geography"
calculated_host_listings_count_private_rooms,integer,y,"The number of Private room listings the host has in the current scrape, in the city/region geography"
calculated_host_listings_count_shared_rooms,integer,y,"The number of Shared room listings the host has in the current scrape, in the city/region geography"
reviews_per_month,numeric,y,The number of reviews the listing has over the lifetime of the listing
